,edad,ocupación,est_civil,nivel_educativo,contrato_meses,Cred_hipotecario,Cred_personal,Medio_contacto,Dia,Mes,duracion_seg,cont_campaña_actual,campañas_previas,aceptacion_TC
840,28,empresario,soltero,bachillerato,32,si,no,chat,3,junio,559,7,0,no
841,42,empresario,casado,bachillerato,67,no,no,celular,20,agosto,143,2,0,no
842,40,profesor,divorciado,bachillerato,19,si,no,chat,15,mayo,62,1,0,no
843,59,administrador,soltero,bachillerato,18,si,si,celular,29,enero,219,2,5,no
844,40,profesor,soltero,bachillerato,47,si,no,celular,15,mayo,15,3,0,no
845,43,empresario,casado,bachillerato,46,si,no,celular,16,abril,567,1,0,no
846,38,empresario,soltero,bachillerato,5,si,no,celular,29,julio,188,2,0,no
847,54,pensionado,casado,primaria,24,si,no,celular,11,julio,159,2,0,no
848,41,informal,casado,bachillerato,54,si,no,telefono,31,julio,121,2,0,no
849,55,amadiciembreasa,divorciado,primaria,69,no,no,celular,28,junio,345,1,3,si
850,33,administrador,casado,universitario,33,no,no,chat,20,mayo,717,1,0,no
851,46,informal,casado,bachillerato,68,no,no,celular,18,agosto,71,3,0,no
852,36,administrador,casado,bachillerato,43,no,no,celular,18,noviembre,144,2,0,no
853,48,empresario,divorciado,universitario,47,no,si,celular,22,julio,38,1,0,no
854,42,administrador,casado,bachillerato,2,si,no,celular,28,agosto,60,2,0,no
855,46,administrador,divorciado,universitario,52,no,no,celular,17,septiembre,336,2,2,si
856,49,empresario,casado,bachillerato,14,si,si,chat,27,junio,92,4,0,no
857,36,informal,casado,bachillerato,54,no,no,celular,11,mayo,254,2,1,no
858,34,empresario,soltero,universitario,4,si,si,celular,14,octubre,104,1,19,no
859,51,emprendedor,divorciado,universitario,48,si,si,celular,20,abril,74,5,0,no
860,58,informal,casado,primaria,31,no,no,celular,19,agosto,156,2,0,no
861,48,administrador,casado,universitario,5,no,no,celular,29,enero,146,2,0,no
862,41,independiente,soltero,bachillerato,61,si,no,chat,19,mayo,882,1,0,si
863,49,independiente,casado,primaria,19,si,no,chat,27,mayo,84,4,0,no
864,43,administrador,casado,primaria,2,si,no,chat,19,mayo,114,2,0,no
865,32,informal,soltero,bachillerato,8,no,si,chat,2,julio,957,3,0,no
866,54,pensionado,casado,bachillerato,57,no,no,chat,11,junio,67,3,0,no
867,33,informal,divorciado,primaria,2,si,no,celular,9,julio,211,11,0,no
868,35,empresario,casado,bachillerato,70,si,no,celular,19,agosto,299,2,0,no
869,56,empresario,casado,bachillerato,7,si,si,celular,11,mayo,102,6,1,no
870,57,empresario,casado,bachillerato,52,no,si,chat,5,mayo,225,1,0,no
871,31,amadiciembreasa,soltero,primaria,66,no,no,celular,21,abril,654,2,0,si
872,33,empresario,soltero,bachillerato,29,si,no,celular,14,mayo,234,2,0,no
873,29,empresario,soltero,universitario,29,no,no,telefono,24,julio,48,6,0,no
874,38,administrador,soltero,universitario,32,si,no,celular,13,mayo,167,1,7,no
875,37,independiente,casado,bachillerato,9,no,no,celular,26,mayo,500,2,0,no
876,33,emprendedor,casado,universitario,48,no,no,celular,7,agosto,22,2,0,no
877,30,administrador,soltero,universitario,26,no,no,celular,19,noviembre,258,2,0,no
878,31,independiente,soltero,bachillerato,27,no,si,celular,19,noviembre,177,1,0,no
879,28,empresario,soltero,universitario,11,si,si,chat,28,mayo,62,2,0,no
880,26,independiente,soltero,bachillerato,6,no,no,celular,30,abril,457,1,1,si
881,31,empresario,soltero,bachillerato,5,si,no,telefono,17,abril,460,2,2,no
882,50,amadiciembreasa,divorciado,primaria,31,si,no,celular,22,julio,184,4,0,no
883,45,emprendedor,casado,primaria,27,si,no,telefono,13,mayo,119,3,3,no
884,48,administrador,casado,primaria,50,no,no,celular,5,marzo,77,6,0,no
885,41,empresario,casado,bachillerato,1,no,si,celular,23,julio,107,1,0,no
886,60,empresario,casado,primaria,52,si,no,chat,9,mayo,1028,2,0,si
887,41,informal,casado,bachillerato,52,si,no,chat,14,mayo,87,1,0,no
888,43,informal,casado,primaria,44,si,no,chat,9,mayo,315,4,0,no
889,36,administrador,casado,universitario,34,si,si,celular,19,noviembre,107,2,0,no
890,40,informal,casado,primaria,22,no,si,telefono,16,julio,201,5,0,no
891,28,administrador,soltero,universitario,3,no,si,celular,29,enero,94,1,2,no
892,27,estudiante,soltero,universitario,69,no,no,celular,12,noviembre,192,2,2,si
893,49,administrador,soltero,bachillerato,72,si,no,celular,29,enero,185,2,1,no
894,37,empresario,casado,universitario,3,si,no,celular,17,noviembre,77,1,0,no
895,31,informal,casado,bachillerato,11,si,no,celular,6,mayo,142,3,0,no
896,31,empresario,soltero,bachillerato,42,no,no,celular,2,febrero,381,1,0,no
897,31,informal,casado,bachillerato,67,si,si,celular,17,noviembre,222,2,0,no
898,35,informal,casado,primaria,54,si,no,celular,17,abril,106,1,0,no
899,51,informal,divorciado,técnico,64,si,no,chat,29,mayo,117,1,0,no
900,33,empresario,soltero,bachillerato,22,no,no,celular,7,agosto,67,3,0,no
901,30,empresario,soltero,universitario,22,si,no,celular,6,mayo,45,2,2,no
902,58,empresario,soltero,bachillerato,40,no,si,celular,14,julio,643,2,0,no
903,34,independiente,casado,universitario,18,si,no,celular,15,octubre,76,1,2,no
904,45,administrador,casado,universitario,54,no,no,celular,21,agosto,508,6,0,no
905,28,profesor,soltero,bachillerato,42,no,no,celular,5,julio,128,2,0,si
906,31,informal,casado,primaria,56,si,no,celular,17,abril,193,2,1,no
907,40,administrador,casado,universitario,5,no,no,chat,16,junio,172,6,0,no
908,30,profesor,soltero,bachillerato,21,no,no,celular,2,febrero,142,2,0,no
909,34,emprendedor,casado,bachillerato,48,si,si,chat,27,mayo,492,2,0,no
910,40,informal,casado,bachillerato,51,no,si,chat,12,junio,140,1,0,no
911,59,pensionado,casado,primaria,66,no,no,chat,18,junio,140,2,0,no
912,43,empresario,soltero,universitario,40,si,no,chat,19,mayo,257,2,0,no
913,41,administrador,casado,universitario,63,no,no,celular,29,enero,41,2,2,no
914,33,empresario,divorciado,bachillerato,40,no,no,celular,21,agosto,91,2,0,no
915,33,administrador,casado,bachillerato,65,si,no,celular,20,abril,132,2,0,no
916,36,informal,casado,bachillerato,67,no,no,chat,3,junio,284,1,0,no
917,32,independiente,soltero,bachillerato,67,no,no,celular,25,julio,184,2,0,no
918,25,independiente,casado,bachillerato,24,si,no,celular,18,julio,225,1,0,no
919,25,informal,casado,bachillerato,12,si,no,chat,12,mayo,241,3,0,no
920,38,empresario,soltero,universitario,65,no,no,celular,20,agosto,79,3,0,no
921,34,administrador,casado,universitario,46,si,no,celular,22,abril,156,1,0,no
922,67,informal,casado,bachillerato,36,no,no,celular,27,octubre,223,2,0,no
923,32,informal,casado,bachillerato,43,si,no,chat,30,mayo,198,1,0,no
924,45,amadiciembreasa,casado,primaria,34,no,no,celular,13,agosto,536,2,0,no
925,33,informal,casado,primaria,61,si,no,chat,21,mayo,304,2,0,no
926,38,independiente,casado,primaria,55,si,no,celular,20,abril,196,2,2,no
927,32,empresario,divorciado,bachillerato,30,si,no,chat,12,mayo,298,2,0,no
928,54,pensionado,divorciado,universitario,50,si,si,chat,21,mayo,86,6,0,no
929,51,independiente,divorciado,bachillerato,17,si,no,chat,8,mayo,186,1,0,no
930,42,informal,casado,primaria,1,si,no,celular,22,julio,167,3,0,no
931,41,independiente,casado,bachillerato,16,si,no,celular,22,julio,24,12,0,no
932,39,administrador,divorciado,universitario,3,no,si,celular,18,agosto,74,3,0,no
933,38,informal,casado,bachillerato,13,si,no,chat,11,junio,601,1,0,no
934,39,administrador,casado,bachillerato,3,si,no,chat,27,mayo,1168,2,0,no
935,46,informal,casado,primaria,7,no,no,celular,20,abril,277,2,0,no
936,50,emprendedor,divorciado,universitario,32,no,si,celular,6,febrero,748,3,0,no
937,33,informal,casado,bachillerato,51,si,no,chat,19,mayo,364,1,0,no
938,37,empresario,casado,bachillerato,70,si,no,chat,19,mayo,229,3,0,no
939,31,administrador,casado,universitario,6,no,no,celular,29,agosto,43,13,0,no
940,34,informal,divorciado,técnico,50,no,no,celular,15,junio,177,1,0,si
941,34,administrador,casado,universitario,52,si,no,celular,7,agosto,262,1,2,si
942,36,administrador,casado,universitario,36,si,no,celular,6,mayo,317,1,2,no
943,40,empresario,casado,bachillerato,15,no,no,chat,20,junio,402,22,0,no
944,40,informal,casado,bachillerato,1,no,no,celular,1,junio,314,1,0,si
945,41,empresario,casado,bachillerato,64,no,no,celular,11,febrero,109,3,0,si
946,52,administrador,casado,universitario,11,no,no,celular,25,agosto,56,6,0,no
947,40,profesor,soltero,bachillerato,25,si,no,chat,12,mayo,169,2,0,no
948,48,informal,soltero,técnico,23,si,no,celular,18,mayo,127,1,0,no
949,33,administrador,divorciado,bachillerato,50,no,no,celular,20,agosto,175,3,0,no
950,44,empresario,divorciado,bachillerato,1,no,no,celular,12,agosto,56,2,0,no
951,55,administrador,casado,universitario,71,no,si,celular,8,julio,123,1,0,no
952,51,independiente,casado,bachillerato,41,no,no,telefono,28,enero,148,2,0,no
953,34,administrador,soltero,universitario,47,no,no,celular,5,febrero,231,1,0,no
954,58,pensionado,divorciado,técnico,32,si,no,celular,23,julio,255,1,0,no
955,39,administrador,soltero,universitario,41,si,no,celular,27,agosto,37,3,0,no
956,27,desempleado,soltero,bachillerato,12,no,no,celular,5,agosto,106,1,2,no
957,55,administrador,divorciado,técnico,17,si,no,chat,19,mayo,95,1,0,no
958,35,empresario,soltero,bachillerato,47,no,no,chat,2,julio,134,2,0,no
959,37,empresario,soltero,universitario,7,si,no,celular,9,abril,820,2,0,no
960,52,empresario,casado,bachillerato,70,si,si,celular,24,febrero,116,1,3,no
961,41,informal,casado,bachillerato,20,si,no,celular,12,mayo,463,1,0,no
962,52,independiente,casado,bachillerato,2,no,si,celular,12,agosto,603,3,0,no
963,34,informal,soltero,bachillerato,19,si,no,chat,27,mayo,47,5,0,no
964,53,administrador,divorciado,primaria,22,no,no,celular,19,noviembre,126,1,0,no
965,33,administrador,soltero,universitario,38,no,no,celular,29,junio,421,2,0,si
966,47,independiente,casado,bachillerato,65,no,no,chat,26,junio,174,8,0,no
967,35,informal,casado,bachillerato,21,si,si,celular,30,enero,144,1,2,no
968,33,administrador,soltero,universitario,15,no,no,celular,8,agosto,191,2,0,no
969,55,informal,casado,primaria,9,no,no,telefono,21,abril,222,1,0,no
970,58,independiente,casado,primaria,3,si,no,celular,11,agosto,206,1,1,si
971,44,independiente,casado,bachillerato,51,si,no,celular,9,julio,74,1,0,no
972,25,profesor,soltero,bachillerato,49,si,no,chat,28,mayo,24,1,0,no
973,37,empresario,soltero,bachillerato,27,si,no,celular,6,mayo,7,11,1,no
974,41,informal,casado,primaria,64,si,no,celular,15,mayo,493,7,0,no
975,34,informal,soltero,bachillerato,63,no,no,celular,3,marzo,350,3,0,si
976,36,profesor,divorciado,bachillerato,56,no,no,chat,6,junio,250,3,0,no
977,44,independiente,casado,universitario,66,no,no,celular,28,agosto,86,4,0,no
978,34,emprendedor,divorciado,universitario,65,no,no,celular,20,noviembre,371,1,0,no
979,56,informal,divorciado,primaria,55,no,no,chat,9,junio,419,2,0,no
980,43,administrador,divorciado,universitario,6,si,no,chat,8,mayo,2087,2,0,si
981,28,informal,soltero,bachillerato,15,si,no,celular,15,mayo,22,4,0,no
982,54,informal,casado,bachillerato,28,si,no,chat,5,mayo,266,1,0,no
983,37,empresario,divorciado,bachillerato,19,no,no,celular,21,julio,191,1,0,no
984,59,independiente,casado,universitario,10,no,no,celular,19,febrero,222,4,2,si
985,58,informal,divorciado,bachillerato,32,no,si,telefono,17,julio,264,3,0,no
986,56,administrador,divorciado,universitario,69,si,no,chat,9,junio,184,5,0,no
987,32,informal,soltero,bachillerato,25,no,si,celular,28,mayo,95,3,0,no
988,42,administrador,soltero,universitario,3,no,no,celular,13,agosto,127,2,0,no
989,52,pensionado,divorciado,primaria,25,no,no,celular,31,julio,395,4,0,no
990,46,administrador,casado,universitario,59,si,no,celular,8,abril,174,1,0,no
991,37,independiente,casado,universitario,3,si,no,celular,27,abril,124,1,0,si
992,39,informal,casado,primaria,35,si,no,chat,26,mayo,102,2,0,no
993,31,independiente,casado,bachillerato,60,si,no,celular,17,abril,279,1,0,no
994,59,amadiciembreasa,casado,primaria,41,no,no,celular,27,agosto,76,11,0,no
995,38,informal,casado,bachillerato,48,si,no,celular,11,mayo,472,2,0,no
996,58,administrador,casado,bachillerato,14,no,no,celular,18,agosto,84,11,0,no
997,34,administrador,soltero,universitario,66,si,si,celular,20,noviembre,271,1,1,no
998,40,profesor,casado,bachillerato,22,si,no,chat,26,mayo,754,1,0,no
999,20,estudiante,soltero,bachillerato,45,no,no,telefono,11,mayo,172,5,5,no
1000,34,empresario,casado,bachillerato,41,si,si,celular,8,abril,375,2,0,no
1001,31,empresario,soltero,universitario,15,si,no,celular,12,agosto,130,2,0,no
1002,39,independiente,soltero,bachillerato,29,si,no,chat,12,mayo,303,3,0,no
1003,34,emprendedor,casado,universitario,25,si,no,chat,16,mayo,261,1,0,no
1004,24,informal,casado,bachillerato,23,si,si,celular,17,abril,229,3,0,no
1005,41,administrador,casado,universitario,26,si,no,celular,1,junio,288,1,0,no
1006,40,administrador,casado,universitario,64,si,no,celular,18,noviembre,219,3,0,no
1007,45,empresario,soltero,bachillerato,38,si,no,chat,30,mayo,891,4,0,si
1008,36,administrador,casado,universitario,34,si,no,chat,26,mayo,204,1,0,no
1009,53,administrador,casado,universitario,46,no,no,chat,20,junio,19,6,0,no
1010,23,estudiante,soltero,bachillerato,25,no,no,celular,25,agosto,158,2,0,no
1011,42,emprendedor,casado,primaria,18,si,no,chat,8,mayo,314,1,0,no
1012,48,informal,casado,bachillerato,9,si,no,chat,19,mayo,215,1,0,no
1013,34,administrador,casado,universitario,42,no,no,celular,25,agosto,169,4,0,no
1014,36,independiente,casado,bachillerato,6,si,no,celular,31,julio,101,4,0,no
1015,43,pensionado,casado,bachillerato,32,si,no,chat,20,mayo,15,13,0,no
1016,36,informal,casado,bachillerato,40,si,no,chat,21,mayo,260,5,0,no
1017,49,informal,casado,bachillerato,6,si,no,celular,14,mayo,558,1,0,si
1018,55,pensionado,casado,bachillerato,5,no,no,chat,17,junio,287,4,0,no
1019,53,pensionado,casado,bachillerato,30,si,no,celular,22,abril,371,2,0,si
1020,42,empresario,casado,bachillerato,27,si,no,celular,11,agosto,149,1,5,si
1021,45,independiente,casado,bachillerato,11,si,si,chat,21,octubre,187,1,0,si
1022,31,informal,casado,bachillerato,40,si,no,chat,21,mayo,32,1,0,no
1023,32,independiente,casado,universitario,4,si,no,chat,5,mayo,138,1,0,no
1024,36,informal,casado,bachillerato,21,si,no,chat,17,junio,228,2,0,no
1025,56,pensionado,casado,bachillerato,38,no,no,telefono,3,julio,353,2,0,si
1026,46,independiente,casado,bachillerato,49,si,no,chat,8,mayo,45,2,0,no
1027,41,amadiciembreasa,soltero,bachillerato,25,no,no,celular,9,julio,76,2,0,no
1028,31,independiente,casado,bachillerato,9,si,si,chat,6,mayo,144,2,0,no
1029,32,empresario,casado,bachillerato,47,si,no,celular,19,agosto,168,2,0,no
1030,38,administrador,casado,universitario,68,si,no,celular,30,enero,140,1,3,no
1031,49,pensionado,soltero,primaria,21,no,no,chat,17,junio,94,1,0,no
1032,46,administrador,soltero,primaria,56,no,no,chat,17,junio,118,3,0,no
1033,29,empresario,soltero,bachillerato,3,si,no,celular,18,mayo,382,1,0,no
1034,36,independiente,casado,técnico,57,no,no,celular,19,noviembre,111,1,0,no
1035,38,independiente,casado,bachillerato,64,si,no,celular,15,mayo,298,2,0,no
1036,53,empresario,casado,bachillerato,36,si,no,chat,30,mayo,121,1,0,no
1037,43,administrador,casado,universitario,51,si,no,chat,15,mayo,317,7,0,no
1038,41,administrador,casado,universitario,51,si,si,chat,5,mayo,42,1,0,no
1039,42,administrador,soltero,bachillerato,50,no,no,celular,5,agosto,81,2,0,no
1040,55,informal,divorciado,bachillerato,72,si,no,celular,3,abril,296,1,3,si
1041,39,independiente,divorciado,bachillerato,29,si,si,telefono,25,julio,259,2,0,no
1042,30,independiente,soltero,bachillerato,31,si,no,celular,6,agosto,121,6,3,no
1043,41,informal,casado,bachillerato,62,si,no,celular,15,mayo,432,3,0,no
1044,44,desempleado,casado,universitario,50,no,no,celular,8,agosto,126,2,0,no
1045,58,administrador,casado,universitario,62,no,no,celular,16,julio,120,4,0,no
1046,35,pensionado,casado,primaria,36,si,no,celular,29,enero,136,1,0,no
1047,27,informal,casado,bachillerato,4,si,no,celular,17,abril,1130,3,0,no
1048,34,profesor,casado,bachillerato,14,no,no,celular,17,diciembre,330,2,3,si
1049,25,profesor,casado,bachillerato,61,si,no,celular,23,julio,305,2,0,no
1050,36,informal,casado,bachillerato,12,no,no,chat,20,junio,332,3,0,no
1051,38,informal,casado,bachillerato,62,si,no,chat,9,mayo,412,1,0,no
1052,30,independiente,casado,bachillerato,12,si,no,celular,11,mayo,157,1,0,no
1053,47,informal,divorciado,bachillerato,17,si,no,celular,30,julio,71,2,0,no
1054,41,profesor,divorciado,bachillerato,23,si,no,celular,8,mayo,297,2,0,no
1055,36,administrador,soltero,universitario,28,no,no,celular,18,noviembre,307,1,0,no
1056,63,emprendedor,casado,bachillerato,38,no,no,telefono,4,agosto,250,2,2,si
1057,23,administrador,soltero,universitario,54,si,no,celular,30,abril,119,1,0,no
1058,32,administrador,casado,universitario,50,no,no,celular,7,agosto,116,2,0,no
1059,57,pensionado,casado,primaria,52,no,no,telefono,7,julio,274,1,0,no
1060,48,administrador,casado,universitario,14,no,no,celular,5,agosto,389,1,2,si
1061,49,profesor,casado,bachillerato,49,no,no,celular,4,agosto,143,1,0,no
1062,50,empresario,casado,bachillerato,68,si,si,chat,28,mayo,860,2,0,no
1063,33,informal,casado,primaria,68,si,no,chat,21,mayo,420,2,0,no
1064,53,profesor,divorciado,bachillerato,44,si,no,chat,28,mayo,213,1,0,no
1065,30,desempleado,casado,universitario,33,si,no,celular,18,noviembre,756,1,0,no
1066,38,empresario,casado,bachillerato,53,no,no,celular,7,agosto,259,3,0,no
1067,44,administrador,casado,bachillerato,22,si,no,celular,23,julio,201,16,0,no
1068,39,independiente,soltero,bachillerato,66,si,si,chat,13,mayo,19,9,0,no
1069,45,empresario,soltero,técnico,24,si,si,celular,18,noviembre,53,1,3,no
1070,36,informal,casado,bachillerato,14,si,no,celular,14,mayo,224,4,0,si
1071,38,informal,casado,bachillerato,52,si,no,celular,13,mayo,57,5,1,no
1072,36,amadiciembreasa,casado,bachillerato,56,si,no,chat,30,mayo,251,1,0,no
1073,30,administrador,soltero,universitario,50,si,no,celular,16,abril,39,1,3,no
1074,28,empresario,divorciado,universitario,8,si,si,chat,18,junio,54,3,0,no
1075,26,desempleado,casado,universitario,58,si,si,chat,23,mayo,28,18,0,no
1076,54,desconocido,casado,bachillerato,15,no,no,celular,12,noviembre,104,1,2,si
1077,38,independiente,casado,universitario,22,no,no,celular,27,marzo,164,2,2,si
1078,32,empresario,soltero,universitario,10,no,no,celular,7,agosto,268,2,0,no
1079,50,independiente,divorciado,bachillerato,46,no,si,celular,17,noviembre,148,1,0,no
1080,43,informal,casado,bachillerato,43,si,no,chat,7,mayo,228,3,0,no
1081,48,independiente,casado,bachillerato,38,no,no,celular,18,agosto,139,5,0,no
1082,57,amadiciembreasa,casado,primaria,44,no,no,celular,18,agosto,89,3,0,no
1083,64,amadiciembreasa,casado,primaria,62,no,no,celular,15,julio,250,2,1,no
1084,26,profesor,divorciado,bachillerato,56,si,no,chat,23,mayo,106,6,0,no
1085,33,informal,casado,bachillerato,65,si,no,celular,18,julio,968,1,0,si
1086,50,independiente,casado,bachillerato,20,no,si,celular,6,agosto,168,3,0,no
1087,47,independiente,casado,universitario,33,no,no,celular,24,julio,408,14,0,no
1088,39,administrador,soltero,universitario,45,no,no,celular,23,octubre,56,4,0,no
1089,52,profesor,casado,primaria,49,no,si,celular,28,julio,55,5,0,no
1090,31,informal,soltero,primaria,16,si,no,chat,29,mayo,76,4,0,no
1091,50,informal,casado,primaria,23,no,no,celular,11,agosto,72,5,0,no
1092,47,empresario,casado,bachillerato,54,si,no,celular,13,agosto,99,3,0,no
1093,30,administrador,soltero,universitario,10,si,no,celular,27,agosto,13,15,0,no
1094,32,empresario,soltero,universitario,66,no,no,celular,14,abril,178,1,0,no
1095,36,empresario,casado,bachillerato,51,no,no,chat,9,junio,287,1,0,no
1096,46,empresario,casado,universitario,19,si,no,celular,14,mayo,141,1,2,no
1097,45,administrador,divorciado,universitario,51,no,no,celular,21,noviembre,127,1,2,no
1098,37,empresario,soltero,bachillerato,40,no,no,celular,4,agosto,69,2,0,no
1099,58,amadiciembreasa,casado,primaria,58,si,no,chat,4,junio,763,4,0,no
1100,59,administrador,casado,universitario,23,no,no,celular,17,febrero,122,1,1,no
1101,28,administrador,casado,universitario,45,si,no,celular,18,mayo,143,1,0,no
1102,48,administrador,casado,universitario,27,si,no,celular,2,febrero,316,3,0,no
1103,55,informal,casado,técnico,43,no,no,telefono,30,julio,89,2,0,no
1104,37,informal,soltero,primaria,1,si,no,celular,15,mayo,151,1,1,no
1105,41,administrador,casado,universitario,47,no,no,celular,19,noviembre,40,1,0,no
1106,35,informal,casado,bachillerato,34,no,si,chat,4,octubre,5,1,12,no
1107,34,informal,soltero,bachillerato,51,si,no,celular,18,julio,90,1,0,no
1108,43,administrador,soltero,universitario,11,no,no,celular,21,noviembre,50,1,5,no
1109,59,empresario,casado,bachillerato,53,no,no,celular,15,abril,159,2,3,si
1110,50,informal,divorciado,primaria,70,no,si,celular,10,julio,369,6,0,no
1111,37,empresario,casado,bachillerato,14,no,no,celular,22,octubre,344,2,8,si
1112,35,empresario,casado,bachillerato,17,si,no,celular,4,septiembre,256,2,1,no
1113,50,empresario,soltero,bachillerato,32,no,no,celular,26,octubre,298,1,0,no
1114,36,empresario,divorciado,bachillerato,40,no,si,celular,11,agosto,268,3,0,no
1115,41,independiente,casado,bachillerato,10,si,no,celular,13,abril,231,1,0,no
1116,28,administrador,casado,universitario,20,si,no,chat,27,mayo,4,4,0,no
1117,42,empresario,soltero,universitario,29,si,no,celular,12,mayo,78,5,3,no
1118,60,pensionado,casado,bachillerato,41,no,no,chat,5,junio,419,1,0,no
1119,28,administrador,soltero,universitario,54,si,no,telefono,13,mayo,421,3,0,no
1120,48,emprendedor,casado,bachillerato,35,no,si,celular,10,julio,105,1,0,no
1121,51,emprendedor,casado,universitario,13,no,no,chat,6,junio,42,1,0,no
1122,32,empresario,casado,universitario,46,no,no,celular,26,mayo,114,7,3,no
1123,35,empresario,casado,universitario,59,no,no,celular,26,agosto,286,2,0,no
1124,37,empresario,casado,técnico,40,no,no,celular,1,octubre,238,1,2,si
1125,38,informal,divorciado,bachillerato,45,si,no,chat,11,junio,91,1,0,no
1126,77,pensionado,casado,bachillerato,6,no,no,celular,13,agosto,766,3,0,no
1127,32,administrador,soltero,técnico,3,no,no,celular,28,enero,92,1,0,no
1128,43,empresario,divorciado,bachillerato,41,no,no,celular,4,agosto,211,3,0,no
1129,36,administrador,soltero,universitario,4,si,no,celular,7,mayo,160,2,3,no
1130,29,administrador,casado,universitario,19,no,no,celular,3,febrero,166,3,0,no
1131,32,independiente,soltero,bachillerato,50,si,no,celular,21,noviembre,195,1,0,no
1132,41,administrador,divorciado,universitario,35,si,si,celular,16,julio,106,1,0,no
1133,26,profesor,soltero,bachillerato,20,si,si,celular,23,julio,85,3,0,no
1134,34,informal,casado,primaria,55,no,no,celular,24,julio,78,1,0,no
1135,57,pensionado,casado,universitario,61,si,si,chat,28,mayo,648,1,0,si
1136,36,profesor,soltero,bachillerato,11,si,no,celular,18,noviembre,177,2,1,no
1137,42,informal,casado,bachillerato,27,si,no,chat,27,mayo,32,1,0,no
1138,35,empresario,divorciado,bachillerato,61,no,no,celular,29,agosto,24,12,0,no
1139,52,emprendedor,divorciado,primaria,42,si,no,chat,7,mayo,688,2,0,no
1140,36,administrador,soltero,universitario,15,si,no,chat,27,mayo,21,5,0,no
1141,46,empresario,casado,bachillerato,25,si,no,chat,27,mayo,112,1,0,no
1142,60,administrador,divorciado,universitario,45,no,no,celular,3,junio,593,1,0,si
1143,57,amadiciembreasa,casado,primaria,8,si,si,celular,7,agosto,59,2,0,no
1144,48,administrador,casado,universitario,48,si,no,celular,29,enero,121,3,0,no
1145,59,independiente,casado,primaria,15,si,no,telefono,28,julio,97,2,0,no
1146,39,administrador,casado,universitario,53,no,no,celular,11,agosto,86,2,0,no
1147,44,informal,casado,bachillerato,28,si,si,celular,14,mayo,10,10,0,no
1148,27,administrador,soltero,universitario,60,no,no,celular,23,junio,205,3,0,no
1149,59,pensionado,casado,bachillerato,51,no,no,chat,9,junio,77,2,0,no
1150,36,empresario,divorciado,bachillerato,45,si,no,celular,18,noviembre,138,2,0,no
1151,44,independiente,casado,bachillerato,28,no,no,celular,3,noviembre,289,1,0,si
1152,50,independiente,casado,bachillerato,48,no,no,celular,4,agosto,86,4,0,no
1153,41,administrador,divorciado,universitario,4,si,no,telefono,22,agosto,9,3,0,no
1154,47,independiente,casado,bachillerato,49,no,si,celular,14,mayo,225,1,1,no
1155,32,empresario,soltero,universitario,3,no,no,celular,22,julio,407,4,0,no
1156,38,informal,casado,bachillerato,64,si,si,chat,3,junio,1030,6,0,no
1157,55,informal,casado,técnico,33,no,no,celular,13,agosto,123,2,0,no
1158,38,administrador,soltero,universitario,48,no,no,celular,22,octubre,119,4,0,no
1159,31,administrador,soltero,universitario,32,si,no,celular,18,mayo,175,1,5,no
1160,38,informal,divorciado,bachillerato,12,no,no,chat,9,junio,299,5,0,no
1161,29,desempleado,soltero,universitario,18,no,no,celular,5,febrero,563,1,0,no
1162,55,profesor,casado,bachillerato,48,si,si,chat,9,mayo,241,1,0,no
1163,35,desempleado,casado,bachillerato,16,si,no,celular,4,mayo,52,4,1,no
1164,40,independiente,soltero,universitario,23,no,no,celular,2,junio,76,3,0,no
1165,34,informal,casado,bachillerato,20,si,si,celular,19,noviembre,441,1,0,no
1166,32,empresario,soltero,universitario,28,no,no,celular,22,abril,319,1,1,si
1167,33,informal,casado,bachillerato,42,si,no,chat,18,septiembre,13,1,6,no
1168,33,administrador,casado,universitario,22,si,no,chat,16,mayo,803,1,0,si
1169,37,independiente,casado,bachillerato,67,no,no,celular,12,mayo,396,2,0,no
1170,58,administrador,casado,universitario,58,no,no,chat,18,junio,188,1,0,no
1171,36,independiente,soltero,bachillerato,48,no,no,celular,20,abril,637,1,0,no
1172,42,informal,casado,bachillerato,68,si,no,chat,5,junio,175,7,0,no
1173,34,empresario,soltero,bachillerato,1,si,no,celular,6,abril,945,1,1,no
1174,35,administrador,casado,universitario,7,si,no,chat,23,mayo,162,3,0,no
1175,60,amadiciembreasa,casado,primaria,14,no,no,chat,12,junio,1178,3,0,no
1176,50,administrador,casado,universitario,41,si,no,celular,8,mayo,506,2,3,no
1177,28,independiente,soltero,universitario,33,no,no,celular,12,enero,409,2,0,si
1178,27,informal,divorciado,bachillerato,66,si,no,celular,14,julio,116,3,0,no
1179,37,administrador,casado,universitario,33,no,no,celular,30,abril,244,1,0,si
1180,31,empresario,casado,universitario,28,si,no,celular,4,mayo,352,4,0,si
1181,34,profesor,casado,bachillerato,30,no,no,celular,12,mayo,152,1,6,si
1182,38,administrador,casado,universitario,44,si,no,chat,21,mayo,164,2,0,no
1183,32,independiente,casado,bachillerato,9,si,no,chat,28,mayo,234,3,0,no
1184,37,empresario,casado,bachillerato,19,no,no,celular,27,agosto,154,4,0,no
1185,33,independiente,casado,bachillerato,28,si,no,chat,7,mayo,566,2,0,no
1186,71,empresario,casado,universitario,8,no,no,celular,27,octubre,327,2,3,no
