edad;ocupación;est_civil;nivel_educativo;contrato_meses;Cred_hipotecario;Cred_personal;Medio_contacto;Dia;Mes;duracion_seg;cont_campaña_actual;campañas_previas;aceptacion_TC
58;amadiciembreasa;casado;primaria;58;si;no;chat;4;junio;763;4;0;no
59;administrador;casado;universitario;23;no;no;celular;17;febrero;122;1;1;no
28;administrador;casado;universitario;45;si;no;celular;18;mayo;143;1;0;no
48;administrador;casado;universitario;27;si;no;celular;2;febrero;316;3;0;no
55;informal;casado;técnico;43;no;no;telefono;30;julio;89;2;0;no
37;informal;soltero;primaria;1;si;no;celular;15;mayo;151;1;1;no
41;administrador;casado;universitario;47;no;no;celular;19;noviembre;40;1;0;no
35;informal;casado;bachillerato;34;no;si;chat;4;octubre;5;1;12;no
34;informal;soltero;bachillerato;51;si;no;celular;18;julio;90;1;0;no
43;administrador;soltero;universitario;11;no;no;celular;21;noviembre;50;1;5;no
59;empresario;casado;bachillerato;53;no;no;celular;15;abril;159;2;3;si
50;informal;divorciado;primaria;70;no;si;celular;10;julio;369;6;0;no
37;empresario;casado;bachillerato;14;no;no;celular;22;octubre;344;2;8;si
35;empresario;casado;bachillerato;17;si;no;celular;4;septiembre;256;2;1;no
50;empresario;soltero;bachillerato;32;no;no;celular;26;octubre;298;1;0;no
36;empresario;divorciado;bachillerato;40;no;si;celular;11;agosto;268;3;0;no
41;independiente;casado;bachillerato;10;si;no;celular;13;abril;231;1;0;no
28;administrador;casado;universitario;20;si;no;chat;27;mayo;4;4;0;no
42;empresario;soltero;universitario;29;si;no;celular;12;mayo;78;5;3;no
60;pensionado;casado;bachillerato;41;no;no;chat;5;junio;419;1;0;no
28;administrador;soltero;universitario;54;si;no;telefono;13;mayo;421;3;0;no
48;emprendedor;casado;bachillerato;35;no;si;celular;10;julio;105;1;0;no
51;emprendedor;casado;universitario;13;no;no;chat;6;junio;42;1;0;no
32;empresario;casado;universitario;46;no;no;celular;26;mayo;114;7;3;no
35;empresario;casado;universitario;59;no;no;celular;26;agosto;286;2;0;no
37;empresario;casado;técnico;40;no;no;celular;1;octubre;238;1;2;si
38;informal;divorciado;bachillerato;45;si;no;chat;11;junio;91;1;0;no
77;pensionado;casado;bachillerato;6;no;no;celular;13;agosto;766;3;0;no
32;administrador;soltero;técnico;3;no;no;celular;28;enero;92;1;0;no
43;empresario;divorciado;bachillerato;41;no;no;celular;4;agosto;211;3;0;no
36;administrador;soltero;universitario;4;si;no;celular;7;mayo;160;2;3;no
29;administrador;casado;universitario;19;no;no;celular;3;febrero;166;3;0;no
32;independiente;soltero;bachillerato;50;si;no;celular;21;noviembre;195;1;0;no
41;administrador;divorciado;universitario;35;si;si;celular;16;julio;106;1;0;no
26;profesor;soltero;bachillerato;20;si;si;celular;23;julio;85;3;0;no
34;informal;casado;primaria;55;no;no;celular;24;julio;78;1;0;no
57;pensionado;casado;universitario;61;si;si;chat;28;mayo;648;1;0;si
36;profesor;soltero;bachillerato;11;si;no;celular;18;noviembre;177;2;1;no
42;informal;casado;bachillerato;27;si;no;chat;27;mayo;32;1;0;no
35;empresario;divorciado;bachillerato;61;no;no;celular;29;agosto;24;12;0;no
52;emprendedor;divorciado;primaria;42;si;no;chat;7;mayo;688;2;0;no
36;administrador;soltero;universitario;15;si;no;chat;27;mayo;21;5;0;no
46;empresario;casado;bachillerato;25;si;no;chat;27;mayo;112;1;0;no
60;administrador;divorciado;universitario;45;no;no;celular;3;junio;593;1;0;si
57;amadiciembreasa;casado;primaria;8;si;si;celular;7;agosto;59;2;0;no
48;administrador;casado;universitario;48;si;no;celular;29;enero;121;3;0;no
59;independiente;casado;primaria;15;si;no;telefono;28;julio;97;2;0;no
39;administrador;casado;universitario;53;no;no;celular;11;agosto;86;2;0;no
44;informal;casado;bachillerato;28;si;si;celular;14;mayo;10;10;0;no
27;administrador;soltero;universitario;60;no;no;celular;23;junio;205;3;0;no
59;pensionado;casado;bachillerato;51;no;no;chat;9;junio;77;2;0;no
36;empresario;divorciado;bachillerato;45;si;no;celular;18;noviembre;138;2;0;no
44;independiente;casado;bachillerato;28;no;no;celular;3;noviembre;289;1;0;si
50;independiente;casado;bachillerato;48;no;no;celular;4;agosto;86;4;0;no
41;administrador;divorciado;universitario;4;si;no;telefono;22;agosto;9;3;0;no
47;independiente;casado;bachillerato;49;no;si;celular;14;mayo;225;1;1;no
32;empresario;soltero;universitario;3;no;no;celular;22;julio;407;4;0;no
38;informal;casado;bachillerato;64;si;si;chat;3;junio;1030;6;0;no
55;informal;casado;técnico;33;no;no;celular;13;agosto;123;2;0;no
38;administrador;soltero;universitario;48;no;no;celular;22;octubre;119;4;0;no
31;administrador;soltero;universitario;32;si;no;celular;18;mayo;175;1;5;no
38;informal;divorciado;bachillerato;12;no;no;chat;9;junio;299;5;0;no
29;desempleado;soltero;universitario;18;no;no;celular;5;febrero;563;1;0;no
55;profesor;casado;bachillerato;48;si;si;chat;9;mayo;241;1;0;no
35;desempleado;casado;bachillerato;16;si;no;celular;4;mayo;52;4;1;no
40;independiente;soltero;universitario;23;no;no;celular;2;junio;76;3;0;no
34;informal;casado;bachillerato;20;si;si;celular;19;noviembre;441;1;0;no
32;empresario;soltero;universitario;28;no;no;celular;22;abril;319;1;1;si
33;informal;casado;bachillerato;42;si;no;chat;18;septiembre;13;1;6;no
33;administrador;casado;universitario;22;si;no;chat;16;mayo;803;1;0;si
37;independiente;casado;bachillerato;67;no;no;celular;12;mayo;396;2;0;no
58;administrador;casado;universitario;58;no;no;chat;18;junio;188;1;0;no
36;independiente;soltero;bachillerato;48;no;no;celular;20;abril;637;1;0;no
42;informal;casado;bachillerato;68;si;no;chat;5;junio;175;7;0;no
34;empresario;soltero;bachillerato;1;si;no;celular;6;abril;945;1;1;no
35;administrador;casado;universitario;7;si;no;chat;23;mayo;162;3;0;no
60;amadiciembreasa;casado;primaria;14;no;no;chat;12;junio;1178;3;0;no
50;administrador;casado;universitario;41;si;no;celular;8;mayo;506;2;3;no
28;independiente;soltero;universitario;33;no;no;celular;12;enero;409;2;0;si
27;informal;divorciado;bachillerato;66;si;no;celular;14;julio;116;3;0;no
37;administrador;casado;universitario;33;no;no;celular;30;abril;244;1;0;si
31;empresario;casado;universitario;28;si;no;celular;4;mayo;352;4;0;si
34;profesor;casado;bachillerato;30;no;no;celular;12;mayo;152;1;6;si
38;administrador;casado;universitario;44;si;no;chat;21;mayo;164;2;0;no
32;independiente;casado;bachillerato;9;si;no;chat;28;mayo;234;3;0;no
37;empresario;casado;bachillerato;19;no;no;celular;27;agosto;154;4;0;no
33;independiente;casado;bachillerato;28;si;no;chat;7;mayo;566;2;0;no
71;empresario;casado;universitario;8;no;no;celular;27;octubre;327;2;3;no
27;empresario;casado;bachillerato;25;si;no;celular;7;mayo;265;3;0;no
38;informal;casado;primaria;38;no;no;chat;9;junio;172;1;0;no
34;empresario;soltero;bachillerato;28;no;no;celular;22;julio;257;2;0;no
54;pensionado;divorciado;universitario;63;no;no;chat;13;mayo;618;1;0;si
30;informal;casado;bachillerato;21;si;no;celular;28;enero;241;3;0;no
35;emprendedor;soltero;bachillerato;20;no;si;celular;21;julio;936;4;0;no
33;informal;soltero;bachillerato;60;si;no;celular;7;abril;329;1;1;no
36;administrador;casado;bachillerato;4;si;no;celular;14;mayo;24;1;1;no
59;independiente;casado;universitario;63;no;no;celular;22;junio;177;5;1;no
72;informal;casado;primaria;48;no;no;telefono;13;octubre;120;1;0;no
64;administrador;casado;universitario;13;no;no;telefono;22;abril;135;3;0;no
53;empresario;divorciado;bachillerato;36;no;no;celular;9;julio;175;1;0;no
35;administrador;soltero;universitario;47;si;no;celular;25;mayo;179;1;0;no
58;independiente;casado;bachillerato;69;si;no;chat;30;mayo;58;1;0;no
40;empresario;casado;bachillerato;57;no;no;celular;17;abril;342;2;0;no
41;profesor;divorciado;bachillerato;33;si;no;celular;13;mayo;139;2;0;no
48;pensionado;casado;primaria;34;si;no;chat;18;junio;88;8;0;no
44;emprendedor;casado;universitario;40;si;si;celular;28;agosto;210;3;0;no
39;informal;casado;técnico;19;no;no;celular;2;febrero;731;1;3;no
61;administrador;casado;universitario;13;no;no;celular;2;febrero;670;3;0;si
36;emprendedor;casado;primaria;2;si;no;chat;12;mayo;63;5;0;no
28;administrador;casado;universitario;60;no;si;celular;8;julio;70;2;0;no
58;pensionado;soltero;bachillerato;37;no;si;celular;4;febrero;72;6;4;no
60;independiente;divorciado;bachillerato;61;si;no;celular;15;mayo;241;1;1;no
66;independiente;soltero;bachillerato;37;no;no;celular;5;mayo;272;4;0;no
36;administrador;soltero;universitario;20;no;no;celular;28;agosto;207;8;1;si
49;independiente;casado;bachillerato;26;si;no;celular;15;mayo;64;6;0;no
40;profesor;casado;bachillerato;21;no;no;chat;12;junio;543;2;0;no
23;empresario;soltero;bachillerato;16;no;no;celular;30;abril;166;1;0;no
29;administrador;soltero;universitario;52;no;no;celular;26;mayo;245;3;7;no
44;informal;casado;primaria;33;si;si;chat;9;mayo;94;1;0;no
54;desconocido;casado;técnico;33;no;no;chat;20;junio;34;8;0;no
47;informal;casado;primaria;1;no;no;telefono;30;julio;203;2;0;no
33;independiente;casado;universitario;62;no;no;celular;24;julio;318;1;0;no
30;independiente;casado;bachillerato;52;si;no;celular;13;abril;158;4;0;no
27;independiente;soltero;bachillerato;48;no;si;celular;21;julio;177;1;0;no
49;administrador;divorciado;universitario;61;si;si;chat;17;noviembre;56;1;2;no
27;profesor;soltero;bachillerato;30;si;no;chat;4;junio;172;2;0;no
51;informal;casado;bachillerato;49;si;no;celular;7;mayo;136;1;1;no
32;independiente;divorciado;bachillerato;51;si;si;celular;18;mayo;82;3;2;no
30;informal;soltero;bachillerato;9;si;no;chat;16;mayo;123;1;0;no
33;independiente;casado;bachillerato;40;si;no;celular;20;noviembre;110;1;0;no
27;informal;soltero;primaria;46;si;no;chat;30;mayo;385;5;0;no
75;pensionado;divorciado;bachillerato;60;no;no;celular;18;diciembre;415;7;0;si
37;profesor;divorciado;bachillerato;14;si;no;celular;2;febrero;73;1;0;no
36;empresario;soltero;bachillerato;47;si;no;chat;16;junio;243;2;0;no
37;informal;casado;bachillerato;33;si;no;chat;9;mayo;137;2;0;no
35;administrador;casado;universitario;36;si;no;chat;23;mayo;55;4;0;no
32;profesor;casado;bachillerato;30;si;si;celular;20;abril;18;5;0;no
32;independiente;soltero;bachillerato;7;no;si;celular;16;julio;255;2;0;no
35;independiente;casado;primaria;60;si;no;celular;11;mayo;95;1;0;no
31;informal;casado;primaria;6;si;si;celular;10;julio;112;1;0;no
28;informal;soltero;bachillerato;68;si;si;celular;5;mayo;205;2;0;no
27;profesor;casado;bachillerato;66;si;no;celular;18;mayo;97;1;1;no
22;estudiante;soltero;técnico;1;no;no;celular;2;septiembre;154;1;0;no
35;informal;casado;primaria;52;si;no;celular;13;mayo;135;2;2;no
69;pensionado;casado;primaria;3;no;no;celular;14;agosto;230;1;0;no
37;emprendedor;soltero;universitario;67;si;si;celular;17;noviembre;349;1;0;no
45;independiente;soltero;bachillerato;9;si;no;celular;8;mayo;38;1;0;no
47;administrador;casado;universitario;38;si;no;celular;22;julio;268;1;0;no
52;administrador;casado;universitario;18;si;no;celular;11;mayo;94;4;0;no
33;profesor;casado;bachillerato;62;si;no;celular;28;julio;263;2;0;no
60;informal;casado;primaria;11;no;no;celular;18;agosto;671;4;0;si
33;administrador;divorciado;bachillerato;13;si;si;chat;2;junio;197;1;0;no
44;independiente;casado;bachillerato;50;si;no;celular;28;enero;180;2;0;no
38;emprendedor;casado;bachillerato;34;no;no;celular;20;noviembre;452;2;0;no
54;emprendedor;casado;bachillerato;48;si;no;chat;15;mayo;352;1;0;no
32;desempleado;divorciado;primaria;1;no;no;celular;15;julio;175;4;0;no
33;empresario;casado;bachillerato;4;si;si;celular;19;noviembre;163;2;0;no
55;profesor;divorciado;bachillerato;59;si;no;chat;29;mayo;200;2;0;no
51;informal;casado;primaria;60;no;si;chat;16;junio;75;7;0;no
48;informal;casado;bachillerato;36;si;no;celular;16;abril;227;1;0;no
37;profesor;soltero;bachillerato;52;si;no;celular;3;febrero;586;3;0;no
33;profesor;soltero;bachillerato;14;no;si;celular;10;julio;119;5;0;no
30;informal;casado;primaria;11;si;si;telefono;22;julio;80;2;0;no
43;informal;casado;primaria;69;si;si;celular;12;mayo;112;2;3;no
49;empresario;casado;bachillerato;7;si;no;chat;19;mayo;130;2;0;no
54;desempleado;casado;primaria;54;si;no;celular;3;febrero;237;3;0;no
31;desempleado;casado;universitario;72;no;no;celular;26;agosto;377;8;0;no
54;desconocido;casado;técnico;57;no;no;celular;7;octubre;335;1;0;si
36;desempleado;casado;bachillerato;69;si;no;celular;29;julio;121;3;0;no
30;independiente;casado;bachillerato;40;no;no;celular;15;julio;127;5;0;no
27;empresario;soltero;bachillerato;66;no;no;chat;1;julio;650;2;0;si
30;independiente;casado;bachillerato;47;si;no;chat;16;mayo;107;1;0;no
30;informal;casado;bachillerato;20;si;no;chat;20;mayo;610;2;0;no
35;empresario;divorciado;bachillerato;27;no;no;celular;25;agosto;124;4;0;no
33;profesor;divorciado;bachillerato;24;si;no;chat;8;mayo;216;1;0;no
43;informal;divorciado;primaria;60;si;si;celular;31;julio;747;4;0;no
41;informal;casado;bachillerato;22;si;no;celular;11;mayo;313;1;3;no
41;administrador;divorciado;universitario;72;no;no;celular;23;abril;252;9;5;si
46;independiente;divorciado;bachillerato;21;no;no;celular;13;febrero;121;1;0;si
54;informal;casado;bachillerato;1;si;no;chat;7;mayo;799;1;0;no
32;administrador;casado;universitario;36;si;no;celular;23;junio;883;1;4;no
30;empresario;soltero;universitario;58;si;no;chat;16;mayo;197;1;0;no
40;emprendedor;casado;primaria;41;si;no;celular;11;julio;271;2;0;no
30;informal;casado;primaria;48;no;no;chat;12;mayo;221;2;0;no
27;independiente;casado;bachillerato;72;no;si;celular;14;julio;243;3;0;no
41;informal;casado;primaria;42;si;no;chat;15;mayo;72;1;0;no
54;profesor;casado;bachillerato;1;si;no;celular;2;agosto;155;2;0;no
32;administrador;soltero;universitario;16;si;no;telefono;28;enero;70;2;0;no
31;administrador;casado;universitario;7;si;no;celular;11;febrero;280;4;0;si
42;informal;casado;bachillerato;7;si;no;chat;26;mayo;115;2;0;no
48;independiente;casado;primaria;33;no;no;chat;20;junio;29;2;0;no
34;informal;casado;primaria;57;si;no;celular;14;mayo;406;2;0;no
55;empresario;divorciado;bachillerato;41;si;si;celular;25;agosto;113;3;0;no
49;empresario;casado;bachillerato;2;no;no;telefono;30;julio;47;2;0;no
46;administrador;divorciado;universitario;8;no;no;chat;5;junio;36;2;0;no
47;emprendedor;casado;técnico;63;si;no;chat;6;mayo;135;2;0;no
24;administrador;soltero;universitario;71;no;no;celular;3;julio;67;2;0;no
58;emprendedor;casado;bachillerato;38;no;no;chat;16;junio;684;1;0;no
32;administrador;soltero;universitario;33;no;no;celular;21;agosto;686;5;0;si
25;estudiante;soltero;bachillerato;22;si;no;celular;2;marzo;170;3;0;no
49;informal;casado;bachillerato;3;no;no;chat;17;junio;150;3;0;no
59;pensionado;divorciado;bachillerato;54;no;no;celular;14;mayo;1060;2;0;si
30;administrador;soltero;universitario;27;si;no;chat;6;junio;122;16;0;no
46;informal;casado;bachillerato;44;si;no;chat;26;mayo;724;1;0;no
42;administrador;casado;técnico;59;no;no;celular;19;octubre;230;1;1;si
37;emprendedor;casado;universitario;67;no;no;chat;20;junio;187;2;0;no
44;informal;casado;primaria;59;si;si;chat;19;mayo;179;4;0;no
49;profesor;casado;bachillerato;7;no;si;celular;4;agosto;357;3;0;no
41;informal;casado;bachillerato;32;no;no;chat;5;junio;82;1;0;no
48;empresario;casado;universitario;31;no;no;telefono;26;agosto;176;15;0;no
31;administrador;casado;bachillerato;25;si;no;celular;7;abril;424;1;1;no
37;estudiante;casado;técnico;57;no;no;chat;18;junio;115;1;0;no
51;profesor;casado;bachillerato;6;si;no;celular;3;febrero;177;2;3;no
80;pensionado;casado;bachillerato;37;no;no;telefono;9;junio;712;1;12;si
32;administrador;soltero;universitario;41;si;no;chat;6;mayo;118;1;0;no
48;profesor;casado;primaria;68;si;no;chat;2;junio;25;7;0;no
49;informal;casado;universitario;50;no;no;chat;12;junio;753;1;0;no
30;administrador;casado;universitario;16;si;no;celular;17;julio;124;1;0;no
27;independiente;soltero;bachillerato;67;si;no;celular;30;enero;208;2;0;no
34;empresario;casado;bachillerato;8;no;no;celular;13;agosto;136;4;0;no
49;administrador;casado;bachillerato;45;si;no;celular;19;noviembre;1081;2;0;si
48;administrador;casado;universitario;19;no;no;telefono;7;mayo;376;2;7;no
40;profesor;casado;bachillerato;43;no;no;celular;4;junio;78;1;0;no
38;informal;casado;bachillerato;58;si;no;celular;18;noviembre;354;1;0;no
46;informal;casado;primaria;52;si;no;celular;6;mayo;29;1;2;no
41;emprendedor;casado;universitario;59;si;no;celular;19;noviembre;209;1;4;no
28;administrador;soltero;universitario;5;si;no;celular;14;mayo;433;1;0;no
51;profesor;casado;técnico;8;si;no;chat;29;mayo;147;2;0;no
33;informal;divorciado;primaria;36;si;no;telefono;11;mayo;41;2;5;no
26;administrador;soltero;universitario;33;no;no;chat;26;mayo;111;1;0;no
34;independiente;soltero;bachillerato;53;no;no;celular;14;abril;108;2;0;no
27;informal;casado;bachillerato;61;si;no;celular;7;mayo;411;2;0;no
42;independiente;casado;bachillerato;69;no;no;celular;10;julio;108;2;0;no
45;independiente;casado;bachillerato;1;si;no;celular;3;junio;224;2;0;si
31;empresario;soltero;bachillerato;18;si;no;chat;12;mayo;1083;2;0;no
32;administrador;soltero;universitario;3;no;no;chat;12;mayo;757;2;0;si
39;informal;casado;primaria;17;no;no;chat;17;junio;57;1;0;no
26;informal;soltero;bachillerato;47;si;si;celular;30;julio;95;5;0;no
40;administrador;soltero;universitario;14;no;no;celular;15;marzo;144;2;1;no
52;profesor;casado;bachillerato;40;no;no;celular;16;julio;135;1;0;no
40;empresario;soltero;universitario;2;no;no;celular;15;enero;176;2;0;no
48;empresario;casado;bachillerato;11;no;si;celular;7;agosto;524;5;0;no
31;profesor;casado;bachillerato;65;si;no;chat;13;mayo;65;1;0;no
27;independiente;casado;bachillerato;68;si;si;celular;6;mayo;653;1;2;si
47;empresario;casado;bachillerato;64;si;no;chat;11;septiembre;91;1;2;si
28;administrador;soltero;bachillerato;40;no;no;celular;10;marzo;93;1;0;si
40;administrador;divorciado;universitario;11;si;no;celular;6;mayo;503;2;2;no
34;independiente;casado;bachillerato;29;si;no;celular;13;abril;186;1;2;no
29;independiente;casado;universitario;49;si;no;chat;23;mayo;121;2;0;no
36;administrador;casado;universitario;16;no;si;celular;19;agosto;452;2;0;no
83;pensionado;casado;primaria;14;no;no;telefono;22;junio;883;1;1;si
55;profesor;divorciado;primaria;23;si;no;chat;15;mayo;104;2;0;no
43;administrador;divorciado;universitario;17;no;no;celular;29;enero;24;3;0;no
23;estudiante;soltero;bachillerato;63;no;no;telefono;19;junio;79;9;0;no
44;empresario;casado;universitario;68;no;no;celular;4;julio;178;2;0;no
58;informal;casado;primaria;8;si;no;celular;15;mayo;74;2;0;no
29;independiente;soltero;bachillerato;8;no;no;celular;10;marzo;217;1;7;no
30;administrador;soltero;universitario;63;no;si;celular;2;febrero;475;1;0;no
29;independiente;soltero;bachillerato;10;si;no;celular;7;mayo;127;1;0;no
41;empresario;casado;bachillerato;9;no;no;celular;11;marzo;101;1;0;no
35;amadiciembreasa;casado;primaria;41;si;no;celular;14;julio;340;3;0;no
31;empresario;soltero;bachillerato;27;si;no;celular;23;julio;158;4;0;no
27;independiente;soltero;universitario;54;no;no;celular;29;enero;242;1;0;no
47;profesor;casado;bachillerato;53;si;no;chat;16;mayo;323;1;0;no
53;independiente;casado;universitario;47;si;si;chat;16;junio;18;30;0;no
34;administrador;casado;universitario;50;si;no;celular;14;julio;68;3;0;no
34;informal;casado;primaria;42;si;si;celular;9;julio;134;4;0;no
36;administrador;casado;universitario;4;si;no;celular;14;mayo;113;3;0;no
40;empresario;casado;bachillerato;72;si;no;celular;18;agosto;43;4;0;no
37;independiente;soltero;universitario;6;no;no;chat;17;junio;200;2;0;no
65;pensionado;divorciado;técnico;33;no;no;celular;2;agosto;245;2;0;no
53;empresario;divorciado;bachillerato;13;si;no;chat;16;mayo;343;4;0;no
28;empresario;soltero;bachillerato;64;no;no;celular;3;marzo;229;1;0;no
33;empresario;divorciado;universitario;21;si;no;chat;23;mayo;530;1;0;no
56;informal;casado;primaria;10;no;no;celular;13;agosto;58;5;0;no
45;independiente;casado;bachillerato;35;no;no;celular;30;abril;78;2;1;no
39;empresario;casado;bachillerato;21;no;no;chat;5;junio;147;1;0;no
28;administrador;soltero;universitario;64;si;no;celular;25;julio;40;1;0;no
36;informal;casado;primaria;21;si;no;celular;18;noviembre;618;2;0;no
41;informal;casado;primaria;55;si;no;celular;20;abril;23;4;0;no
46;independiente;casado;bachillerato;71;no;no;celular;20;agosto;293;1;4;si
41;informal;casado;bachillerato;56;si;no;celular;13;mayo;16;6;5;no
59;profesor;casado;bachillerato;44;no;no;celular;23;julio;286;2;0;no
24;independiente;casado;bachillerato;23;si;no;celular;6;mayo;209;1;1;no
34;administrador;casado;universitario;1;si;no;chat;21;mayo;935;1;0;no
40;informal;casado;primaria;1;si;no;chat;27;mayo;260;1;0;no
42;independiente;casado;bachillerato;15;si;no;chat;16;junio;298;4;0;no
50;profesor;casado;bachillerato;37;si;no;celular;15;abril;397;2;1;no
25;administrador;soltero;universitario;53;si;no;celular;17;septiembre;113;4;1;no
51;profesor;divorciado;bachillerato;47;si;no;telefono;17;noviembre;76;1;0;no
50;administrador;casado;universitario;67;no;si;celular;1;junio;141;1;0;no
37;informal;casado;técnico;70;si;no;chat;23;mayo;773;2;0;no
21;profesor;soltero;bachillerato;41;no;no;telefono;5;junio;329;1;1;no
52;informal;casado;bachillerato;61;si;no;chat;7;mayo;423;1;0;no
55;pensionado;casado;primaria;51;no;no;celular;5;agosto;67;4;0;no
26;empresario;soltero;bachillerato;2;si;si;chat;2;junio;626;1;0;no
38;empresario;casado;universitario;3;no;no;celular;18;noviembre;578;2;0;si
32;informal;casado;bachillerato;2;si;no;chat;9;mayo;61;1;0;no
31;informal;casado;bachillerato;28;si;no;chat;23;mayo;248;4;0;no
34;empresario;soltero;bachillerato;47;no;si;celular;29;enero;136;1;3;no
33;empresario;soltero;universitario;53;no;no;celular;21;agosto;126;3;0;no
35;empresario;casado;bachillerato;69;no;no;telefono;28;enero;653;3;0;no
44;administrador;casado;técnico;14;si;no;telefono;14;mayo;7;7;0;no
48;administrador;divorciado;universitario;59;si;no;celular;9;abril;528;1;0;no
29;informal;casado;bachillerato;45;si;no;celular;13;mayo;785;1;0;no
50;administrador;casado;universitario;46;no;no;celular;9;julio;243;5;0;no
37;informal;casado;primaria;35;si;no;celular;13;mayo;24;2;1;no
44;independiente;soltero;bachillerato;44;no;no;chat;19;junio;82;1;0;no
36;desempleado;soltero;universitario;9;si;no;chat;11;junio;952;3;0;no
49;informal;divorciado;técnico;9;si;no;celular;13;mayo;27;5;0;no
31;informal;casado;bachillerato;11;si;no;chat;5;mayo;143;1;0;no
49;empresario;divorciado;bachillerato;47;si;no;chat;12;mayo;274;6;0;no
35;informal;soltero;bachillerato;12;si;no;celular;16;abril;1174;1;4;si
57;independiente;divorciado;técnico;21;no;no;celular;20;noviembre;915;1;0;no
42;informal;casado;primaria;4;si;no;celular;5;febrero;115;1;0;no
36;informal;divorciado;bachillerato;2;si;no;chat;26;mayo;222;2;0;no
75;pensionado;divorciado;primaria;59;no;no;celular;15;marzo;341;1;0;no
38;informal;soltero;bachillerato;29;si;no;chat;21;mayo;112;2;0;no
40;informal;casado;primaria;45;si;no;chat;6;mayo;64;2;0;no
38;profesor;soltero;bachillerato;21;si;no;celular;13;mayo;937;3;0;si
34;administrador;soltero;universitario;31;si;no;celular;10;julio;129;1;0;no
29;empresario;soltero;universitario;31;si;no;celular;11;mayo;59;1;0;no
28;independiente;casado;bachillerato;20;si;no;celular;29;enero;79;1;2;no
79;pensionado;casado;bachillerato;41;no;no;telefono;9;julio;151;5;0;no
51;independiente;divorciado;bachillerato;28;si;no;chat;19;mayo;83;1;0;no
32;estudiante;soltero;universitario;43;no;no;celular;6;agosto;101;5;6;no
36;administrador;casado;universitario;55;no;no;celular;5;agosto;157;3;2;si
38;emprendedor;casado;bachillerato;43;no;si;celular;15;mayo;57;11;1;no
49;independiente;casado;bachillerato;9;si;si;chat;13;mayo;176;3;0;no
42;profesor;casado;bachillerato;15;si;no;celular;11;mayo;222;3;0;no
43;informal;casado;primaria;52;si;no;chat;2;junio;217;4;0;no
34;informal;casado;bachillerato;13;si;no;chat;26;mayo;252;1;0;no
59;pensionado;soltero;bachillerato;12;si;no;chat;27;mayo;1063;5;0;si
35;desconocido;casado;primaria;9;no;no;celular;29;agosto;41;2;0;no
33;informal;soltero;bachillerato;56;si;no;chat;20;junio;27;25;0;no
34;independiente;soltero;bachillerato;23;si;no;celular;17;abril;758;2;0;no
64;pensionado;casado;bachillerato;38;no;no;telefono;29;julio;301;3;0;si
34;emprendedor;casado;universitario;33;si;no;celular;16;julio;574;1;0;no
77;pensionado;casado;universitario;10;no;no;celular;16;octubre;847;1;1;si
57;pensionado;casado;primaria;66;no;si;telefono;30;julio;78;5;0;no
30;informal;casado;bachillerato;63;si;si;chat;27;mayo;514;1;0;no
56;amadiciembreasa;divorciado;primaria;35;no;no;chat;5;junio;1558;1;0;si
49;desconocido;casado;técnico;62;no;no;celular;14;agosto;789;2;0;no
73;pensionado;casado;primaria;8;no;no;celular;20;julio;146;3;3;no
39;empresario;soltero;bachillerato;40;si;no;celular;14;agosto;272;2;0;no
57;empresario;divorciado;primaria;52;si;no;celular;8;mayo;323;2;2;no
32;independiente;casado;bachillerato;70;si;no;celular;11;julio;712;2;0;no
32;empresario;soltero;universitario;45;si;no;chat;21;mayo;860;2;0;si
45;independiente;casado;bachillerato;23;si;no;celular;20;agosto;75;9;0;no
32;informal;casado;bachillerato;25;si;no;chat;19;mayo;191;4;0;no
31;administrador;casado;universitario;40;si;si;celular;24;julio;1441;2;0;si
49;independiente;casado;bachillerato;27;no;no;celular;12;agosto;428;2;0;no
29;profesor;casado;bachillerato;19;no;no;celular;28;mayo;322;3;0;no
55;empresario;casado;bachillerato;20;si;no;celular;29;enero;104;1;0;no
30;independiente;casado;bachillerato;60;si;no;celular;8;mayo;127;1;0;no
45;profesor;soltero;primaria;51;si;no;chat;3;junio;1259;6;0;si
39;empresario;casado;universitario;60;no;no;celular;28;enero;114;2;0;no
36;independiente;casado;bachillerato;37;si;si;chat;13;mayo;106;1;0;no
33;administrador;casado;universitario;58;no;no;celular;19;noviembre;305;1;3;no
36;administrador;casado;universitario;44;si;no;celular;12;agosto;307;1;0;si
31;empresario;soltero;bachillerato;44;no;no;celular;11;agosto;1504;2;0;no
36;empresario;casado;técnico;70;no;no;celular;11;julio;396;3;0;no
38;empresario;soltero;universitario;68;si;no;celular;1;junio;71;1;0;no
33;desconocido;casado;bachillerato;58;no;no;celular;6;agosto;205;3;0;no
40;empresario;casado;bachillerato;24;si;no;chat;13;mayo;134;2;0;no
31;informal;casado;bachillerato;39;no;si;celular;5;junio;166;2;0;si
39;profesor;casado;bachillerato;6;si;no;celular;31;julio;81;5;0;no
33;independiente;casado;universitario;45;no;si;celular;4;mayo;77;2;0;no
53;profesor;divorciado;bachillerato;20;no;no;celular;12;marzo;80;2;0;si
38;administrador;casado;universitario;36;si;no;celular;13;mayo;537;5;2;no
59;empresario;casado;bachillerato;61;no;no;celular;15;junio;415;1;1;si
55;informal;casado;primaria;36;no;no;celular;19;noviembre;291;1;0;no
